year,country_code,tax_revenue,inflation,gdp
1998,BTN,8.311448698998444,10.696267105647635,363458380.90334153
1998,BWA,,9.96727081881656,4790481509.176786
1998,CAF,,-0.4141540949823508,967338389.6505778
1998,CAN,14.668397589042028,-0.1762252562696744,634000000000.0
1998,CHE,9.261956958868048,-0.1892590591419463,303459014346.80646
1998,CHL,15.771289645010786,0.7789902059607527,81990010703.84299
1998,CHN,,-0.9002516289440763,1029060747620.6548
1998,CIV,,5.387361390656963,19619654755.67897
1998,CMR,9.694599136149227,1.065869878260301,11298144990.410444
1998,COD,5.349763314445223,26.93537636034773,6217806273.310819
1998,COG,,-18.22208966145492,1949481379.2195127
1998,COL,13.74373215445233,14.77304541035454,98486358581.1639
1998,COM,,1.3466543714139902,370106745.9301457
1998,CPV,,-0.3359905897686133,521910560.5248681
1998,CRI,12.823864932675813,11.938194929375996,13684255946.576462
1998,CYP,18.31612007312761,1.9657153205179725,10248618778.280542
1998,CZE,14.286056792341132,9.837538609898402,67187217327.73255
1998,DEU,10.792707349516148,0.6918256514846917,2247760364565.9663
1998,DJI,,,514267869.30075794
1998,DNK,32.207072913471414,1.2323651636595372,176877077513.13275
1998,DOM,11.431669659002102,6.50470125160993,21672215546.764217
1998,DZA,,-3.1310886974196706,48187781984.48805
1998,ECU,,-3.7826791813433545,27981896948.47424
1998,EGY,,2.377681489201791,84828807556.08029
1998,ESP,,2.6347798790486934,618731484575.1198
1998,EST,22.10734739868062,6.894492376178789,5674080542.885749
1998,ETH,10.987988994342023,-0.1501469376428019,8013274131.697146
1998,FIN,22.71757271798789,3.1039947414771945,133990876724.52158
1998,FJI,,7.447953426752491,1653146716.5823526
1998,FRA,23.17520769244939,0.908513581248286,1496906382032.466
1998,FSM,,2.991246825114402,218873100.0
1998,GAB,,-17.786401478440183,4483417309.830112
1998,GBR,25.02511264385313,1.283657389999604,1653694932096.7207
1998,GEO,10.01573047131678,6.9403213402784445,3613497316.5531855
1998,GHA,,17.04846524513364,7482069162.420078
1998,GIN,,3.3246404448857447,5232118046.371303
1998,GMB,,5.411821203040063,840285264.6315453
1998,GNB,,10.34033960712604,591034143.4263843
1998,GRC,21.236112537092584,5.27870907662016,139612812175.71774
1998,GRD,,1.7378730680715648,445903592.5925925
1998,GTM,9.371933974514665,9.50243518490798,19395491992.99387
1998,GUY,,2.970092815272068,717530683.1695666
1998,HND,,10.298994913143588,6366340265.878878
1998,HRV,24.2414820697298,8.179444248181042,25890228429.72135
1998,HTI,,14.157417628516685,3723903723.637718
1998,HUN,20.76523788885337,13.767238925827698,48706787306.25736
1998,IDN,15.027588180425184,75.27116877347177,95445547872.71504
1998,IND,8.11314351097825,8.010167524564011,421351317224.9413
1998,IRL,26.494328405031435,6.552776716337888,90199410115.50967
1998,IRN,8.644376053917933,9.381517157785597,110276913362.44542
1998,IRQ,,-15.950433935941632,20617405044.242462
1998,ISL,23.955378679797416,4.714604932460958,8503693098.622713
1998,ISR,24.75115869825736,6.851550672052056,120358023999.36844
1998,ITA,24.592536929462323,2.368536829725244,1272729786996.766
1998,JAM,20.85185728661901,10.575072448255751,8787195622.43502
1998,JOR,18.12346251203252,6.004402675030022,7912270803.949224
1998,JPN,,-0.0266802470249984,4098362709531.2407
1998,KAZ,7.294793896023311,5.662844723040863,22135245507.36557
1998,KEN,,6.931402668889049,14093998843.733383
1998,KGZ,,9.07750628375146,1645963749.8314617
1998,KIR,,5.642591429403666,74905725.1483615
1998,KOR,12.62021874656213,4.475923176117092,383331833681.821
1998,LAO,,84.5044589007367,1280177838.7190535
1998,LBN,12.63322880416077,4.017918264508495,17247179005.521946
1998,LBR,,-6.666699276460548,359600000.0
1998,LCA,,2.4302378745561413,877407407.4074074
1998,LKA,14.476426984261082,9.214160125981223,15794972847.168346
1998,LSO,25.08054334134294,9.922233698401882,928460893.1089648
1998,LTU,22.08920231947195,3.3132062218690805,11289161847.216228
1998,LUX,25.601176944394403,-2.0325464596420773,20150053345.187817
1998,LVA,17.089360271419572,4.669251750579505,6974112951.268914
1998,MAR,17.231535306539186,11.657170213799787,46497608724.9865
1998,MDA,18.080240838937208,9.461730171716129,1698717504.6554935
1998,MDG,,6.209969541968803,4401967632.737184
1998,MDV,14.200240474394688,-1.137983077821474,540096397.6210705
1998,MEX,7.702649139949965,15.716055443006937,557461102630.6578
1998,MHL,,2.6809802741859983,112070100.0
1998,MKD,,1.391708953150797,3765745023.207396
1998,MLI,,1.7395750287744391,2920358710.5064645
1998,MLT,18.33635561924709,1.3768977877809618,4010090978.743852
1998,MMR,3.519309518839888,35.82523976038607,6459461639.302425
1998,MNE,,-1.8258033185684328,854261160.7142857
1998,MNG,8.358672087334124,-1.9317969896455764,1124440204.8473787
1998,MOZ,,6.158462785963678,5551118148.73836
1998,MRT,,18.45161299365907,2032347664.9499304
1998,MUS,15.780886229459313,6.963579516523268,4225813976.3635945
1998,MWI,,19.548479857810435,2547609590.069837
1998,MYS,16.73015749727266,8.498719998348577,72167498980.8398
1998,NAM,25.69348773207417,8.269554834992746,3873109865.556834
1998,NER,,6.078162685722589,2643363518.9927177
1998,NGA,,6.009344303610661,218416200672.7273
1998,NIC,11.036483063754073,14.028487755265346,4635347385.544603
1998,NLD,20.679568127768533,2.0675162212638867,438612530548.76697
1998,NOR,23.956953912706467,-0.6925922766440493,154230295158.4472
1998,NPL,8.63933254666024,4.107850676285807,4856255044.390637
1998,NRU,,3.933612326299112,29664450.925863124
1998,PAK,12.829093804431936,7.526036895633751,62191955814.3478
1998,PAN,,1.0733252297928004,11019557700.0
1998,PER,14.234804964757114,5.37109035742958,55501467877.38104
1998,PHL,13.675463756702902,10.40567036141728,74492416329.91425
1998,PNG,20.48029114767543,14.543854014562086,3789443014.6166177
1998,POL,20.08417928480439,11.047610741544972,175282269666.80093
1998,PRT,20.38186698614926,3.82503294242467,123946327916.29564
1998,PRY,,16.25857633288838,9260481572.42462
1998,PSE,,-5.372134667918814,4067800000.0
1998,QAT,,-18.38217148087508,10255495027.472528
1998,ROU,17.736038716267156,48.1345197660485,41696091973.707634
1998,RUS,,18.538967341902435,270955486862.44205
1998,RWA,,2.2282006483828667,1989343546.175944
1998,SDN,619.7163282348927,17.66227076575622,11250221536.748407
1998,SEN,,2.779030906474105,6505607909.053245
1998,SLB,,11.152682090439583,457579840.22506624
1998,SLE,,23.775122880697268,672368187.1147556
1998,SLV,9.879789825237388,4.2300951830240905,10936669900.0
1998,SRB,,24.581670866706773,21004077441.480244
1998,STP,,16.00001919202691,72285403.84234582
1998,SUR,,17.211624316665947,1110850000.0
1998,SVK,20.08190707385788,5.003674073614832,29976207629.48876
